PACKAGE, GENERATIONS, MODE, POPULATION SIZE, EXECUTION TIME
/Users/ben/Documents/Uni/astor/examples/testMultiMet/rt-project, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/rt-project, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/rt-project, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/rt-project, 50, jgenprog, 50, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM1, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM1, 50, jgenprog, 50, 11
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM2, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM2, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM2, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM2, 50, jgenprog, 50, 10
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM2b, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM2b, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM2b, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testBinaryExprReduceVM2b, 50, jgenprog, 50, 6
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testIfNullCheckVR, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testIfNullCheckVR, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testIfNullCheckVR, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testIfNullCheckVR, 50, jgenprog, 50, 16
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti1, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti1, 50, jgenprog, 50, 10
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti2, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti2, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti2, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti2, 50, jgenprog, 50, 6
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti3, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti3, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti3, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testMulti3, 50, jgenprog, 50, 26
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testOperatorBinary1WrongVar, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testOperatorBinary1WrongVar, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testOperatorBinary1WrongVar, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testOperatorBinary1WrongVar, 50, jgenprog, 50, 23
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testTryVR, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testTryVR, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testTryVR, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testTryVR, 50, jgenprog, 50, 6
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testUnwrapIfVR1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testUnwrapIfVR1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testUnwrapIfVR1, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testUnwrapIfVR1, 50, jgenprog, 50, 26
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testWMVMRcase3, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testWMVMRcase3, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testWMVMRcase3, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMultiMet/testWMVMRcase3, 50, jgenprog, 50, 26
/Users/ben/Documents/Uni/astor/examples/testMet/testBinaryExprReduce1, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testBinaryExprReduce1, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testBinaryExprReduce1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testBinaryExprReduce1, 50, jgenprog, 50, 23
/Users/ben/Documents/Uni/astor/examples/testMet/testBinaryExprReduce2, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testBinaryExprReduce2, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testBinaryExprReduce2, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testBinaryExprReduce2, 50, jgenprog, 50, 14
/Users/ben/Documents/Uni/astor/examples/testMet/testConstantPerVar1, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testConstantPerVar1, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testConstantPerVar1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testConstantPerVar1, 50, jgenprog, 50, 13
/Users/ben/Documents/Uni/astor/examples/testMet/testExprExp1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testExprExp1, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testExprExp1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testExprExp1, 50, jgenprog, 50, 397
/Users/ben/Documents/Uni/astor/examples/testMet/testIfNullCheck1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testIfNullCheck1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testIfNullCheck1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testIfNullCheck1, 50, jgenprog, 50, 4
/Users/ben/Documents/Uni/astor/examples/testMet/testIfNullCheck2, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testIfNullCheck2, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testIfNullCheck2, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testIfNullCheck2, 50, jgenprog, 50, 13
/Users/ben/Documents/Uni/astor/examples/testMet/testIfSimple1, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testIfSimple1, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testIfSimple1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testIfSimple1, 50, jgenprog, 50, 11
/Users/ben/Documents/Uni/astor/examples/testMet/testMethodReplaceByVar1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testMethodReplaceByVar1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testMethodReplaceByVar1, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testMethodReplaceByVar1, 50, jgenprog, 50, 5
/Users/ben/Documents/Uni/astor/examples/testMet/testOperatorBinary1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testOperatorBinary1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testOperatorBinary1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testOperatorBinary1, 50, jgenprog, 50, 27
/Users/ben/Documents/Uni/astor/examples/testMet/testOperatorBinary2, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testOperatorBinary2, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testOperatorBinary2, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testOperatorBinary2, 50, jgenprog, 50, 4
/Users/ben/Documents/Uni/astor/examples/testMet/testTrySimple1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testTrySimple1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testTrySimple1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testTrySimple1, 50, jgenprog, 50, 11
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapIf1, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapIf1, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapIf1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapIf1, 50, jgenprog, 50, 2299
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapInvocation1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapInvocation1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapInvocation1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapInvocation1, 50, jgenprog, 50, 25
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapTry1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapTry1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapTry1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testUnwrapTry1, 50, jgenprog, 50, 4
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplace1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplace1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplace1, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplace1, 50, jgenprog, 50, 10
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplaceByMethod1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplaceByMethod1, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplaceByMethod1, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testVarReplaceByMethod1, 50, jgenprog, 50, 41
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase1, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase1, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase1, 50, jgenprog, 20,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase1, 50, jgenprog, 50, 5
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2a, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2a, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2a, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2a, 50, jgenprog, 50, 19
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2b, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2b, 50, jgenprog, 10,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2b, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2b, 50, jgenprog, 50, 8
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2c, 50, jgenprog, 1,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2c, 50, jgenprog, 10,, 2
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2c, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase2c, 50, jgenprog, 50, 26
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase3, 50, jgenprog, 1,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase3, 50, jgenprog, 10,, 4
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase3, 50, jgenprog, 20,, 3
/Users/ben/Documents/Uni/astor/examples/testMet/testWMRcase3, 50, jgenprog, 50, 8
/Users/ben/Documents/Uni/astor/examples/Math-0c1ef/, 50, jgenprog, 1,, 20
/Users/ben/Documents/Uni/astor/examples/Math-0c1ef/, 50, jgenprog, 10,, 145
